Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Player Link
Gareth Bale,wal WAL,FW,Tottenham,31-183,1989,1.8,1.11,0.56,0.56,0.00,0.56,0.56,1.11,50.0,0.56,11.7,2.78,23.8,1.67,5.56,4.44,1.11,0.00,0.00,1.11,0.56,1.67,2.22,0.00,/en/players/a58bb1e1/Gareth-Bale
Patrick Bamford,eng ENG,FW,Leeds United,27-132,1993,16.2,0.93,0.56,0.19,0.37,0.37,0.25,0.86,28.6,0.62,14.2,4.14,29.1,0.99,6.23,6.98,0.56,0.25,0.00,0.31,0.25,1.17,1.17,0.00,/en/players/93feac6e/Patrick-Bamford
Phil Bardsley,sco SCO,DF,Burnley,35-201,1985,3.0,2.00,1.33,1.67,0.33,0.00,0.67,1.33,50.0,0.67,12.3,3.00,24.3,5.00,6.33,1.00,1.00,0.00,0.00,1.00,1.00,3.00,4.33,0.00,/en/players/1ae30132/Phil-Bardsley
Ross Barkley,eng ENG,MF,Aston Villa,27-041,1993,5.0,0.60,0.00,0.40,0.20,0.00,0.40,1.20,33.3,0.80,16.0,4.60,28.8,2.00,9.00,5.00,2.20,0.40,0.00,1.80,0.40,1.00,0.40,0.00,/en/players/3a24769f/Ross-Barkley
Ross Barkley,eng ENG,MF,Chelsea,27-041,1993,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,10.0,2.00,20.0,4.00,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,/en/players/3a24769f/Ross-Barkley
Ashley Barnes,eng ENG,FW,Burnley,31-077,1989,9.7,1.24,0.52,0.21,0.62,0.41,0.41,0.93,44.4,0.52,14.3,3.40,23.7,1.65,5.98,6.70,1.24,0.21,0.00,1.03,0.31,1.55,0.52,0.00,/en/players/2691c772/Ashley-Barnes
Harvey Barnes,eng ENG,"FW,MF",Leicester City,23-037,1997,13.2,0.91,0.45,0.38,0.15,0.38,0.23,0.76,30.0,0.53,10.5,3.26,30.9,2.58,4.24,3.71,1.06,0.23,0.00,0.83,0.91,1.82,0.53,0.00,/en/players/3ea50f67/Harvey-Barnes
Kyle Bartley,eng ENG,DF,West Brom,29-238,1991,8.3,0.84,0.24,0.72,0.12,0.00,0.36,1.20,30.0,0.84,7.11,1.93,27.1,4.46,2.41,0.24,2.41,1.20,0.12,1.20,0.36,1.20,6.87,0.00,/en/players/18e96f64/Kyle-Bartley
Chris Basham,eng ENG,"DF,MF",Sheffield Utd,32-179,1988,16.4,2.62,1.52,1.40,0.98,0.24,1.16,1.95,59.4,0.79,12.0,3.23,27.0,6.04,4.02,1.89,1.59,0.43,0.12,1.16,1.10,3.72,3.96,0.06,/en/players/1aa84968/Chris-Basham
Michy Batshuayi,be BEL,FW,Crystal Palace,27-105,1993,4.8,0.42,0.42,0.21,0.21,0.00,0.21,1.25,16.7,1.04,11.7,2.71,23.2,1.04,5.83,4.79,1.88,0.21,0.00,1.67,0.42,0.83,0.83,0.21,/en/players/2973d8ff/Michy-Batshuayi
Jan Bednarek,pl POL,DF,Southampton,24-278,1996,16.0,0.94,0.56,0.69,0.19,0.06,0.31,0.94,33.3,0.63,6.31,2.31,36.6,4.19,2.00,0.13,1.69,0.69,0.00,1.00,1.44,2.38,5.69,0.06,/en/players/4115ce4e/Jan-Bednarek
Donny van de Beek,nl NED,"MF,FW",Manchester Utd,23-272,1997,2.9,2.76,2.41,1.03,1.72,0.00,0.69,2.07,33.3,1.38,18.3,5.17,28.3,2.41,10.3,5.52,3.10,0.34,0.00,2.76,1.03,3.79,1.03,0.00,/en/players/50dc94ce/Donny-van-de-Beek
Héctor Bellerín,es ESP,DF,Arsenal,25-302,1995,15.2,1.25,0.79,0.66,0.46,0.13,0.39,1.51,26.1,1.12,8.36,2.76,33.1,2.83,4.21,1.32,2.76,0.53,0.00,2.24,0.26,1.51,1.78,0.00,/en/players/f874dd44/Hector-Bellerin
Saïd Benrahma,dz ALG,"MF,FW",West Ham,25-158,1995,4.4,2.27,1.59,0.91,1.36,0.00,0.68,1.82,37.5,1.14,18.4,5.45,29.6,5.45,9.55,3.41,1.36,0.00,0.00,1.36,1.14,3.41,0.45,0.00,/en/players/5a04fd92/Said-Benrahma
Josh Benson,eng ENG,MF,Burnley,21-041,1999,2.8,2.50,1.79,1.43,0.36,0.71,1.07,2.50,42.9,1.43,10.7,3.57,33.3,3.93,5.36,1.43,1.07,0.36,0.00,0.71,0.36,2.86,0.36,0.00,/en/players/bf3aeb61/Josh-Benson
