Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Player Link
Matthew Longstaff,eng ENG,MF,Newcastle Utd,20-300,2000,3.3,1.21,0.91,1.21,0.00,0.00,0.61,1.82,33.3,1.21,26.4,6.67,25.3,8.48,15.8,2.12,2.73,0.00,0.00,2.73,1.82,3.03,0.91,0.00,/en/players/c0027d2d/Matthew-Longstaff
Sean Longstaff,eng ENG,MF,Newcastle Utd,23-077,1997,9.2,2.17,1.20,0.76,1.09,0.33,1.41,3.48,40.6,2.07,24.3,6.85,28.1,10.7,10.8,2.93,1.74,0.11,0.00,1.63,1.20,3.37,1.20,0.11,/en/players/a2b105e0/Sean-Longstaff
Ademola Lookman,eng ENG,FW,Fulham,23-087,1997,11.5,1.57,1.13,0.52,0.87,0.17,0.09,1.22,7.1,1.13,16.9,6.35,37.6,4.26,7.91,4.70,1.39,0.09,0.00,1.30,0.96,2.52,0.52,0.00,/en/players/7c104bb7/Ademola-Lookman
Max Lowe,eng ENG,DF,Sheffield Utd,23-249,1997,4.6,4.13,2.17,3.70,0.43,0.00,1.30,3.91,33.3,2.61,22.4,5.43,24.3,11.1,9.13,2.17,3.26,0.43,0.00,2.83,0.43,4.57,1.52,0.22,/en/players/7af88b33/Max-Lowe
Matthew Lowton,eng ENG,DF,Burnley,31-220,1989,12.0,2.08,0.92,0.92,1.08,0.08,1.17,2.25,51.9,1.08,8.50,2.25,26.5,3.67,4.25,0.58,2.50,0.50,0.00,2.00,1.17,3.25,3.17,0.00,/en/players/9a9c05db/Matthew-Lowton
David Luiz,br BRA,DF,Arsenal,33-268,1987,6.3,1.27,0.63,0.32,0.95,0.00,0.32,0.32,100.0,0.00,6.67,2.22,33.3,3.49,2.86,0.32,2.54,1.27,0.00,1.27,0.48,1.75,4.13,0.16,/en/players/c0e27d1a/David-Luiz
Douglas Luiz,br BRA,MF,Aston Villa,22-251,1998,13.6,1.91,1.25,0.88,0.88,0.15,0.66,1.84,36.0,1.18,16.8,4.49,26.8,6.18,8.24,2.35,1.62,0.51,0.00,1.10,0.59,2.50,1.18,0.00,/en/players/6f7d826d/Douglas-Luiz
John Lundstram,eng ENG,MF,Sheffield Utd,26-332,1994,9.5,0.95,0.21,0.42,0.42,0.11,0.32,1.89,16.7,1.58,14.0,3.58,25.6,4.42,6.63,2.95,1.79,0.53,0.00,1.26,0.84,1.79,0.95,0.11,/en/players/0df2b165/John-Lundstram
Alexis Mac Allister,ar ARG,"FW,MF",Brighton,22-022,1998,2.5,2.80,2.00,2.00,0.40,0.40,1.60,2.80,57.1,1.20,24.0,8.80,36.7,6.80,9.20,8.00,3.20,0.40,0.00,2.80,0.40,3.20,0.40,0.00,/en/players/83d074ff/Alexis-Mac-Allister
James Maddison,eng ENG,"MF,FW",Leicester City,24-053,1996,10.7,1.59,0.93,0.28,0.56,0.75,0.47,1.12,41.7,0.65,16.5,4.49,27.1,3.08,7.85,5.61,0.56,0.00,0.00,0.56,0.84,2.43,0.28,0.00,/en/players/ee38d9c5/James-Maddison
Harry Maguire,eng ENG,DF,Manchester Utd,27-316,1993,17.0,1.06,0.59,0.76,0.29,0.00,0.41,0.88,46.7,0.47,6.06,2.35,38.8,3.65,2.29,0.12,1.41,0.76,0.00,0.65,2.00,3.06,4.41,0.00,/en/players/d8931174/Harry-Maguire
Riyad Mahrez,dz ALG,"FW,DF",Manchester City,29-329,1991,9.3,1.40,1.08,0.22,0.54,0.65,0.65,2.15,30.0,1.51,11.9,2.80,23.4,1.29,5.59,5.05,1.18,0.00,0.00,1.18,0.00,1.40,0.11,0.00,/en/players/892d5bb1/Riyad-Mahrez
Ainsley Maitland-Niles,eng ENG,DF,Arsenal,23-139,1997,5.4,3.15,2.04,1.67,1.11,0.37,1.48,2.04,72.7,0.56,20.6,4.63,22.5,8.70,8.15,3.70,2.41,0.56,0.00,1.85,2.41,5.56,2.22,0.19,/en/players/e3a5814e/Ainsley-Maitland-Niles
Sadio Mané,sn SEN,FW,Liverpool,28-280,1992,14.8,1.62,1.35,0.34,0.81,0.47,0.47,1.01,46.7,0.54,14.5,5.20,35.8,1.96,5.20,7.36,1.22,0.14,0.00,1.08,0.47,2.09,0.20,0.00,/en/players/c691bfe2/Sadio-Mane
Javier Manquillo,es ESP,DF,Newcastle Utd,26-255,1994,5.1,2.75,1.57,1.18,1.37,0.20,0.78,1.18,66.7,0.39,11.0,3.53,32.1,5.88,3.92,1.18,1.57,0.20,0.00,1.37,0.78,3.53,2.16,0.00,/en/players/758dd7f0/Javier-Manquillo
Fernando Marçal,br BRA,DF,Wolves,31-331,1989,6.3,1.43,0.63,0.79,0.63,0.00,0.32,0.95,33.3,0.63,9.21,3.02,32.8,4.76,2.86,1.59,2.70,0.32,0.00,2.38,1.11,2.54,3.49,0.00,/en/players/9ae9eaea/Fernando-Marcal
Solly March,eng ENG,DF,Brighton,26-179,1994,14.8,2.97,1.82,1.42,1.15,0.41,0.81,1.55,52.2,0.74,12.6,3.51,27.8,4.39,4.46,3.78,2.77,0.34,0.00,2.43,0.95,3.92,0.61,0.00,/en/players/bb5fbd2b/Solly-March
Pablo Marí,es ESP,DF,Arsenal,27-137,1993,3.0,2.00,2.00,1.67,0.33,0.00,0.33,0.33,100.0,0.00,6.33,3.00,47.4,3.33,3.00,0.00,2.67,1.33,0.00,1.33,0.33,2.33,7.67,0.00,/en/players/aa54ec6f/Pablo-Mari
Anthony Martial,fr FRA,FW,Manchester Utd,25-041,1995,10.2,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.0,0.39,9.61,3.24,33.7,0.39,3.04,6.18,0.98,0.20,0.00,0.78,0.00,0.00,0.49,0.00,/en/players/8b788c01/Anthony-Martial
Martinelli,br BRA,FW,Arsenal,19-211,2001,1.7,1.76,0.59,0.59,0.59,0.59,1.18,4.12,28.6,2.94,17.6,1.18,6.7,2.94,4.12,10.6,0.00,0.00,0.00,0.00,2.35,4.12,1.18,0.00,/en/players/48a5a5d6/Martinelli
Emiliano Martínez,ar ARG,GK,Aston Villa,28-135,1992,15.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.07,0.00,0.0,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,/en/players/7956236f/Emiliano-Martinez
Arthur Masuaku,cd COD,DF,West Ham,27-069,1993,9.4,1.81,1.17,1.38,0.32,0.11,1.17,3.09,37.9,1.91,11.0,3.62,33.0,6.70,2.77,1.49,2.87,0.00,0.00,2.87,0.32,2.13,1.49,0.00,/en/players/57df7a11/Arthur-Masuaku
Juan Mata,es ESP,FW,Manchester Utd,32-262,1988,3.7,0.54,0.54,0.27,0.27,0.00,0.00,1.35,0.0,1.35,11.6,2.70,23.3,2.43,3.51,5.68,0.54,0.00,0.00,0.54,0.00,0.54,0.54,0.00,/en/players/29733c72/Juan-Mata
Nemanja Matić,rs SRB,MF,Manchester Utd,32-167,1988,7.1,2.11,1.13,1.27,0.85,0.00,0.56,2.11,26.7,1.55,14.8,4.51,30.5,6.76,7.46,0.56,2.82,0.14,0.00,2.68,0.85,2.96,0.99,0.00,/en/players/eb7822d7/Nemanja-Matic
Joël Matip,cm CMR,DF,Liverpool,29-160,1991,6.2,1.94,1.29,1.45,0.48,0.00,0.65,1.13,57.1,0.48,7.58,3.06,40.4,4.84,2.58,0.16,0.97,0.00,0.00,0.97,0.48,2.42,3.23,0.00,/en/players/b217ef29/Joel-Matip
Neal Maupay,fr FRA,"FW,MF",Brighton,24-154,1996,12.7,0.87,0.71,0.16,0.47,0.24,0.00,0.31,0.0,0.31,13.5,4.41,32.6,2.36,5.35,5.83,0.71,0.16,0.00,0.55,0.31,1.18,0.24,0.00,/en/players/4bcf39f6/Neal-Maupay
James McArthur,sco SCO,MF,Crystal Palace,33-100,1987,14.3,3.43,1.68,1.89,1.26,0.28,1.05,2.87,36.6,1.82,22.9,6.71,29.3,9.93,10.9,2.10,2.17,0.28,0.00,1.89,1.26,4.69,1.54,0.00,/en/players/cee31595/James-McArthur
Oliver McBurnie,sco SCO,FW,Sheffield Utd,24-225,1996,9.2,1.09,0.54,0.54,0.33,0.22,0.43,1.41,30.8,0.98,21.5,4.67,21.7,1.74,12.1,7.72,1.30,0.33,0.00,0.98,0.54,1.63,1.52,0.00,/en/players/78b8ac63/Oliver-McBurnie
Alex McCarthy,eng ENG,GK,Southampton,31-043,1989,16.0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.0,0.06,0.06,0.00,0.0,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,/en/players/36c2ca73/Alex-McCarthy
James McCarthy,ie IRL,MF,Crystal Palace,30-064,1990,3.7,2.70,1.35,2.16,0.54,0.00,1.08,2.43,44.4,1.35,20.8,4.05,19.5,10.0,10.0,0.81,2.16,0.81,0.00,1.35,1.35,4.05,1.35,0.00,/en/players/64b08de7/James-McCarthy
John McGinn,sco SCO,MF,Aston Villa,26-089,1994,15.0,2.00,1.20,0.73,1.00,0.27,0.53,1.87,28.6,1.33,14.3,4.07,28.4,3.67,7.87,2.80,0.93,0.07,0.00,0.87,0.40,2.40,0.87,0.13,/en/players/90f91999/John-McGinn
David McGoldrick,ie IRL,"FW,MF",Sheffield Utd,33-047,1987,11.3,0.88,0.27,0.09,0.44,0.35,0.27,0.88,30.0,0.62,16.6,4.07,24.5,2.57,6.81,7.26,1.77,0.18,0.00,1.59,0.62,1.50,0.62,0.00,/en/players/dbe56a33/David-McGoldrick
Dwight McNeil,eng ENG,MF,Burnley,21-054,1999,13.2,1.52,0.76,0.53,0.83,0.15,0.30,1.74,17.4,1.44,18.5,4.24,23.0,4.17,10.2,4.17,1.82,0.08,0.00,1.74,0.76,2.27,0.76,0.08,/en/players/fc15fb84/Dwight-McNeil
Scott McTominay,sco SCO,MF,Manchester Utd,24-038,1996,10.2,1.96,1.18,1.47,0.49,0.00,0.59,1.86,31.6,1.27,16.0,5.10,31.9,6.08,7.84,2.06,3.04,0.69,0.00,2.35,1.27,3.24,1.76,0.00,/en/players/d93c2511/Scott-McTominay
Ben Mee,eng ENG,DF,Burnley,31-114,1989,10.0,0.80,0.50,0.70,0.10,0.00,0.30,0.60,50.0,0.30,3.80,0.70,18.4,2.20,1.40,0.20,2.10,1.30,0.00,0.80,0.20,1.00,7.30,0.00,/en/players/8df7a2fb/Ben-Mee
Benjamin Mendy,fr FRA,DF,Manchester City,26-182,1994,5.6,1.43,0.89,0.54,0.36,0.54,0.36,1.43,25.0,1.07,9.11,2.50,27.5,2.50,4.29,2.32,1.79,0.36,0.00,1.43,0.36,1.79,1.43,0.18,/en/players/5271c8f1/Benjamin-Mendy
Edouard Mendy,sn SEN,GK,Chelsea,28-320,1992,13.0,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.0,0.08,0.23,0.00,0.0,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,/en/players/33887998/Edouard-Mendy
Nampalys Mendy,fr FRA,MF,Leicester City,28-206,1992,12.3,2.03,1.22,1.14,0.81,0.08,0.41,0.89,45.5,0.49,15.9,5.28,33.3,6.59,7.40,1.87,1.38,0.08,0.00,1.30,0.57,2.60,0.16,0.00,/en/players/1598599e/Nampalys-Mendy
Illan Meslier,fr FRA,GK,Leeds United,20-319,2000,17.0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.0,0.06,0.18,0.06,33.3,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,/en/players/6b625ac2/Illan-Meslier
Luka Milivojević,rs SRB,MF,Crystal Palace,29-283,1991,10.0,2.20,1.50,0.70,1.10,0.40,1.30,3.00,43.3,1.70,16.7,4.70,28.1,6.80,7.70,2.20,1.40,0.10,0.00,1.30,1.20,3.40,1.70,0.00,/en/players/2ce2508a/Luka-Milivojevic
James Milner,eng ENG,"MF,DF",Liverpool,35-011,1986,3.9,2.56,1.54,1.28,1.28,0.00,1.28,3.08,41.7,1.79,15.4,5.64,36.7,4.87,7.44,3.08,4.62,0.51,0.00,4.10,0.77,3.33,1.54,0.00,/en/players/2f90f6b8/James-Milner
Yerry Mina,co COL,DF,Everton,26-114,1994,15.0,1.20,0.53,0.87,0.33,0.00,0.20,0.40,50.0,0.20,6.87,1.80,26.2,4.33,2.47,0.07,1.47,1.00,0.00,0.47,0.60,1.80,5.73,0.07,/en/players/6d5701f2/Yerry-Mina
Takumi Minamino,jp JPN,"MF,FW",Liverpool,25-365,1995,3.2,1.25,0.94,0.31,0.63,0.31,0.00,3.75,0.0,3.75,24.7,7.50,30.4,5.94,11.9,6.88,0.00,0.00,0.00,0.00,0.00,1.25,0.94,0.00,/en/players/f833a830/Takumi-Minamino
Tyrone Mings,eng ENG,DF,Aston Villa,27-308,1993,13.5,0.81,0.59,0.59,0.22,0.00,0.37,0.67,55.6,0.30,6.22,2.22,35.7,3.04,2.67,0.52,1.56,0.81,0.00,0.74,0.15,0.96,5.11,0.00,/en/players/8397a50c/Tyrone-Mings
Tyrick Mitchell,eng ENG,DF,Crystal Palace,21-136,1999,9.0,3.67,1.33,2.22,0.78,0.67,0.67,1.44,46.2,0.78,18.9,4.78,25.3,12.6,3.89,2.44,2.67,0.22,0.00,2.44,0.89,4.56,3.00,0.00,/en/players/5cbd1eb0/Tyrick-Mitchell
Aleksandar Mitrović,rs SRB,FW,Fulham,26-121,1994,8.8,0.91,0.68,0.11,0.45,0.34,0.23,0.57,40.0,0.34,11.9,4.32,36.2,1.02,3.86,7.05,1.36,0.45,0.00,0.91,0.11,1.02,0.45,0.00,/en/players/3925dbd6/Aleksandar-Mitrovic
Jayson Molumby,ie IRL,MF,Brighton,21-162,1999,0.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,/en/players/c908a1bc/Jayson-Molumby
Wes Morgan,jm JAM,DF,Leicester City,36-360,1984,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,/en/players/80c31c97/Wes-Morgan
Mason Mount,eng ENG,"MF,FW",Chelsea,22-005,1999,15.0,2.33,1.40,0.87,1.00,0.47,0.53,2.27,23.5,1.73,19.9,5.47,27.5,5.07,9.07,5.73,1.27,0.07,0.00,1.20,1.00,3.33,0.73,0.00,/en/players/9674002f/Mason-Mount
Lucas Moura,br BRA,"FW,MF",Tottenham,28-155,1992,5.1,1.96,0.98,0.59,1.18,0.20,0.59,2.35,25.0,1.76,20.8,4.51,21.7,6.47,8.63,5.69,1.18,0.00,0.00,1.18,0.98,2.94,0.78,0.00,/en/players/2b622f01/Lucas-Moura
Lys Mousset,fr FRA,FW,Sheffield Utd,24-342,1996,2.3,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.0,1.30,18.3,3.91,21.4,0.43,7.39,10.4,0.43,0.43,0.00,0.00,0.00,0.00,0.00,0.00,/en/players/d9cfca3d/Lys-Mousset
João Moutinho,pt POR,MF,Wolves,34-129,1986,12.8,2.89,1.88,1.56,1.17,0.16,1.33,3.52,37.8,2.19,18.0,5.70,31.6,7.27,8.91,1.88,1.56,0.08,0.00,1.48,1.17,4.06,1.33,0.00,/en/players/f5a00fa4/Joao-Moutinho
Jacob Murphy,eng ENG,"DF,FW",Newcastle Utd,25-326,1995,7.3,2.33,1.37,1.10,1.10,0.14,1.37,2.33,58.8,0.96,17.5,3.70,21.1,7.67,6.03,3.84,2.33,0.27,0.00,2.05,0.68,3.01,1.51,0.00,/en/players/de112b84/Jacob-Murphy
Shkodran Mustafi,de GER,DF,Arsenal,28-273,1992,0.5,2.00,2.00,2.00,0.00,0.00,2.00,2.00,100.0,0.00,14.0,4.00,28.6,6.00,8.00,0.00,2.00,0.00,0.00,2.00,0.00,2.00,4.00,0.00,/en/players/3f2d59fe/Shkodran-Mustafi
Marvelous Nakamba,zw ZIM,MF,Aston Villa,26-362,1994,1.2,0.83,0.83,0.83,0.00,0.00,0.00,0.83,0.0,0.83,18.3,8.33,45.5,9.17,7.50,1.67,2.50,0.83,0.00,1.67,0.83,1.67,3.33,0.00,/en/players/de5b5570/Marvelous-Nakamba
Wilfred Ndidi,ng NGA,"MF,DF",Leicester City,24-030,1996,7.1,4.93,2.68,2.54,1.83,0.56,0.85,2.54,33.3,1.69,17.2,6.62,38.5,8.03,7.75,1.41,3.10,0.56,0.00,2.54,1.69,6.62,3.52,0.00,/en/players/6b47c5db/Wilfred-Ndidi
Tanguy Ndombele,fr FRA,MF,Tottenham,24-018,1996,9.8,2.14,1.22,0.31,0.71,1.12,0.61,1.94,31.6,1.33,21.9,6.43,29.3,5.51,11.4,5.00,1.84,0.10,0.00,1.73,0.82,2.96,0.71,0.00,/en/players/5cdddffa/Tanguy-Ndombele
Reiss Nelson,eng ENG,FW,Arsenal,21-036,1999,0.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,16.3,7.50,46.2,2.50,7.50,6.25,1.25,0.00,0.00,1.25,1.25,1.25,1.25,0.00,/en/players/c5bdb6e3/Reiss-Nelson
Pedro Neto,pt POR,"FW,MF",Wolves,20-312,2000,16.0,0.88,0.75,0.38,0.19,0.31,0.25,1.13,22.2,0.88,10.3,2.88,28.0,2.31,4.94,3.00,0.81,0.06,0.00,0.75,0.94,1.81,0.31,0.00,/en/players/7ba2eaa9/Pedro-Neto
Rúben Neves,pt POR,MF,Wolves,23-308,1997,13.8,3.33,2.61,1.96,1.09,0.29,1.38,3.48,39.6,2.10,19.4,6.09,31.3,8.48,9.57,1.38,2.46,0.29,0.00,2.17,0.94,4.28,2.39,0.07,/en/players/44bfb6c5/Ruben-Neves
Eddie Nketiah,eng ENG,FW,Arsenal,21-230,1999,3.6,0.56,0.56,0.00,0.28,0.28,0.00,0.56,0.0,0.56,20.6,2.78,13.5,2.22,10.6,7.78,1.94,0.56,0.00,1.39,0.28,0.83,1.11,0.00,/en/players/a53649b7/Eddie-Nketiah
Niels Nkounkou,fr FRA,DF,Everton,20-075,2000,0.8,5.00,0.00,2.50,1.25,1.25,1.25,5.00,25.0,3.75,25.0,5.00,20.0,7.50,11.3,6.25,5.00,0.00,0.00,5.00,0.00,5.00,5.00,0.00,/en/players/f5b281e7/Niels-Nkounkou
Dan Nlundulu,eng ENG,FW,Southampton,21-345,1999,0.4,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.0,2.50,30.0,5.00,16.7,7.50,10.0,12.5,2.50,0.00,0.00,2.50,0.00,0.00,0.00,0.00,/en/players/30040f5d/Dan-Nlundulu
Mark Noble,eng ENG,MF,West Ham,33-252,1987,2.5,0.80,0.40,0.00,0.40,0.40,0.40,2.00,20.0,1.60,13.6,2.40,17.6,4.00,7.60,2.00,0.40,0.00,0.00,0.40,1.20,2.00,0.00,0.00,/en/players/ff527768/Mark-Noble
Oliver Norwood,nir NIR,MF,Sheffield Utd,29-278,1991,7.3,1.64,0.96,0.68,0.82,0.14,0.55,3.01,18.2,2.47,16.6,3.97,24.0,5.62,8.90,2.05,1.23,0.27,0.00,0.96,1.37,3.01,1.51,0.00,/en/players/43439614/Oliver-Norwood
Jack O'Connell,eng ENG,DF,Sheffield Utd,26-292,1994,2.0,1.50,0.50,0.50,0.50,0.50,0.00,1.00,0.0,1.00,5.00,2.00,40.0,2.50,1.00,1.50,3.00,1.50,0.00,1.50,0.00,1.50,5.50,0.00,/en/players/312626c1/Jack-OConnell
Dara O'Shea,ie IRL,DF,West Brom,21-317,1999,11.1,2.07,1.35,1.35,0.72,0.00,0.72,1.71,42.1,0.99,10.3,3.87,37.7,6.67,2.97,0.63,2.88,1.17,0.00,1.71,0.99,3.06,5.23,0.00,/en/players/1d042188/Dara-OShea
Michael Obafemi,ie IRL,FW,Southampton,20-193,2000,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,30.0,10.0,33.3,20.0,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,/en/players/caa1a7f0/Michael-Obafemi
Denis Odoi,be BEL,DF,Fulham,32-233,1988,3.0,1.00,0.00,0.67,0.33,0.00,0.33,1.33,25.0,1.00,7.67,1.00,13.0,3.67,2.67,1.33,2.00,0.33,0.00,1.67,0.33,1.33,3.67,0.00,/en/players/f7750aa0/Denis-Odoi
Angelo Ogbonna,it ITA,DF,West Ham,32-237,1988,16.7,0.96,0.66,0.78,0.12,0.06,0.00,0.54,0.0,0.54,7.84,3.17,40.5,5.03,2.46,0.36,1.80,0.60,0.00,1.20,0.60,1.56,6.65,0.00,/en/players/74b2cd7e/Angelo-Ogbonna
Robin Olsen,se SWE,GK,Everton,31-007,1990,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,/en/players/e7ee38c3/Robin-Olsen
Josh Onomah,eng ENG,MF,Fulham,23-263,1997,1.5,1.33,0.67,0.00,1.33,0.00,0.00,0.00,,0.00,22.7,6.67,29.4,2.67,12.0,8.00,0.67,0.67,0.00,0.00,0.00,1.33,0.00,0.00,/en/players/6612cd8c/Josh-Onomah
Divock Origi,be BEL,FW,Liverpool,25-272,1995,0.1,10.0,10.0,10.0,0.00,0.00,0.00,0.00,,0.00,30.0,10.0,33.3,20.0,0.00,10.0,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,/en/players/43a166b4/Divock-Origi
Ben Osborn,eng ENG,"MF,DF",Sheffield Utd,26-163,1994,8.5,2.24,1.29,1.29,0.71,0.24,0.82,3.29,25.0,2.47,20.1,4.82,24.0,7.65,8.35,4.12,1.76,0.24,0.00,1.53,0.71,2.94,0.71,0.00,/en/players/79bc4c45/Ben-Osborn
Owen Otasowie,us USA,MF,Wolves,19-270,2001,1.3,3.85,3.08,2.31,1.54,0.00,0.00,0.77,0.0,0.77,16.9,9.23,54.5,4.62,10.0,2.31,2.31,0.77,0.00,1.54,2.31,6.15,0.77,0.00,/en/players/6956ff08/Owen-Otasowie
Alex Oxlade-Chamberlain,eng ENG,"MF,FW",Liverpool,27-153,1993,0.9,0.00,0.00,0.00,0.00,0.00,0.00,2.22,0.0,2.22,7.78,3.33,42.9,0.00,2.22,5.56,2.22,0.00,0.00,2.22,1.11,1.11,0.00,0.00,/en/players/38c7feef/Alex-Oxlade-Chamberlain
Emerson Palmieri,it ITA,DF,Chelsea,26-165,1994,1.0,3.00,2.00,1.00,1.00,1.00,1.00,3.00,33.3,2.00,14.0,3.00,21.4,6.00,3.00,5.00,2.00,0.00,0.00,2.00,1.00,4.00,10.0,0.00,/en/players/e0bc6fdc/Emerson-Palmieri
Thomas Partey,gh GHA,MF,Arsenal,27-216,1993,3.3,3.64,2.42,1.21,2.42,0.00,2.12,4.24,50.0,2.12,15.2,6.97,46.0,4.24,10.0,0.91,1.21,0.00,0.00,1.21,1.52,5.15,0.91,0.00,/en/players/529f49ab/Thomas-Partey
Rui Patrício,pt POR,GK,Wolves,32-335,1988,18.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.11,0.00,0.0,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,/en/players/79b0d6a0/Rui-Patricio
Bailey Peacock-Farrell,nir NIR,GK,Burnley,24-078,1996,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,/en/players/4879f8cb/Bailey-Peacock-Farrell
Lee Peltier,eng ENG,DF,West Brom,34-035,1986,1.0,4.00,3.00,4.00,0.00,0.00,2.00,2.00,100.0,0.00,9.00,4.00,44.4,4.00,4.00,1.00,0.00,0.00,0.00,0.00,1.00,5.00,5.00,0.00,/en/players/af341b88/Lee-Peltier
Nicolas Pépé,ci CIV,"FW,MF",Arsenal,25-231,1995,5.4,1.11,0.93,0.56,0.37,0.19,0.56,0.93,60.0,0.37,14.4,3.89,26.9,2.41,6.48,5.56,1.85,0.00,0.00,1.85,0.74,1.85,0.37,0.19,/en/players/57e3f0c7/Nicolas-Pepe
Matheus Pereira,br BRA,"MF,FW",West Brom,24-255,1996,10.2,1.47,0.88,0.59,0.69,0.20,0.29,1.57,18.8,1.27,14.9,5.00,33.6,3.43,7.75,3.73,0.98,0.00,0.00,0.98,0.88,2.35,1.08,0.00,/en/players/b04ee927/Matheus-Pereira
Ayoze Pérez,es ESP,"MF,FW",Leicester City,27-176,1993,6.0,3.17,1.17,1.17,1.67,0.33,0.83,3.50,23.8,2.67,25.2,6.17,24.5,6.00,12.0,7.17,1.83,0.17,0.00,1.67,1.50,4.67,0.50,0.00,/en/players/819aa8e7/Ayoze-Perez
Kalvin Phillips,eng ENG,MF,Leeds United,25-044,1995,13.5,2.89,1.78,1.63,0.89,0.37,0.89,2.81,31.6,1.93,19.0,6.81,35.9,7.85,9.48,1.63,2.89,0.74,0.00,2.15,1.93,4.81,1.93,0.00,/en/players/4f565d77/Kalvin-Phillips
Matt Phillips,sco SCO,"MF,DF",West Brom,29-308,1991,7.2,1.11,0.56,0.28,0.42,0.42,0.28,1.39,20.0,1.11,16.8,3.89,23.1,5.42,6.94,4.44,2.22,0.14,0.14,2.08,0.56,1.67,1.11,0.00,/en/players/7bb5f40e/Matt-Phillips
Nathaniel Phillips,eng ENG,DF,Liverpool,23-300,1997,3.0,1.00,0.33,1.00,0.00,0.00,0.00,0.67,0.0,0.67,10.7,4.33,40.6,4.67,5.33,0.67,0.67,0.67,0.00,0.00,0.67,1.67,5.67,0.00,/en/players/515ebe8d/Nathaniel-Phillips
Jordan Pickford,eng ENG,GK,Everton,26-314,1994,15.0,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.0,0.07,0.33,0.07,20.0,0.33,0.00,0.00,0.07,0.00,0.00,0.07,0.00,0.00,0.13,0.07,/en/players/4806ec67/Jordan-Pickford
Erik Pieters,nl NED,"DF,MF",Burnley,32-161,1988,5.0,2.40,1.00,1.00,1.40,0.00,0.80,2.40,33.3,1.60,15.8,2.40,15.2,6.20,6.80,2.80,2.40,0.00,0.00,2.40,0.00,2.40,2.60,0.00,/en/players/1ef37668/Erik-Pieters
Daniel Podence,pt POR,"FW,MF",Wolves,25-086,1995,12.4,1.13,0.56,0.16,0.56,0.40,0.32,1.13,28.6,0.81,11.9,3.71,31.1,2.42,5.32,4.19,0.40,0.08,0.00,0.32,0.97,2.10,0.32,0.00,/en/players/7fcc71d8/Daniel-Podence
Paul Pogba,fr FRA,"MF,FW",Manchester Utd,27-306,1993,10.6,2.17,1.42,0.75,1.23,0.19,0.57,1.79,31.6,1.23,14.0,4.43,31.8,4.34,6.51,3.11,1.04,0.09,0.00,0.94,0.66,2.83,2.36,0.00,/en/players/867239d3/Paul-Pogba
Nick Pope,eng ENG,GK,Burnley,28-271,1992,15.0,0.07,0.00,0.07,0.00,0.00,0.07,0.13,50.0,0.07,0.27,0.07,25.0,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,/en/players/4b40d9ca/Nick-Pope
